X,Y
-1.00,-0.08347
-1.00,-0.08339
-1.00,-0.08271
-0.88,0.02533
-0.78,0.05226
-0.39,-0.06085
-0.21,-0.05676
-0.21,-0.05609
-0.00,-0.00278
-0.00,-0.00133
0.01,0.00441
0.18,0.05107
0.32,0.06366
0.38,0.05554
0.40,0.05759
0.83,-0.05928
1.00,0.07585
