X,Y
-1.00,-0.02422
-1.00,-0.02365
-0.77,0.03816
-0.77,0.03815
-0.41,-0.04749
-0.34,-0.06118
-0.24,-0.06052
-0.08,-0.02461
-0.04,-0.01101
0.12,0.03910
0.19,0.05211
0.26,0.06309
0.32,0.06589
0.36,0.05869
0.75,-0.02409
1.00,0.01998
