X,Y
-1.00,0.00585
-0.72,0.01233
-0.71,0.01214
-0.29,-0.05925
-0.26,-0.05993
-0.21,-0.05520
-0.16,-0.04321
0.15,0.03915
0.17,0.04629
0.19,0.04916
0.21,0.05422
0.23,0.05589
0.29,0.05515
0.71,-0.00956
1.00,-0.01309
